1942(tm) Game	'42	1942
Sky Kid(tm) Game	SKYK	Sky Kid
Sky Shark(tm) Game	SKY	Sky Shark
Slalom(tm) Game	SLALOM	Slalom
Snake's Revenge(tm) Game	SNAKE	Snake's Revenge
Snake, Rattle 'N' Roll(tm) Game	RAT	Snake Rattle N Roll
Snow Brothers(tm) Game	SNOW	Snow Brothers
Soccer Game	SOC	Soccer
Solar Jetman(tm) Game	JET	Solar Jetman - Hunt for the Golden Warpship
Solomon's Key(tm) Game	SOL	Solomon's Key
Solstice(tm) Game	SOLS	Solstice - The Quest for the Staff of Demnos
Spelunker(tm) Game	LUNK	Spelunker
Spy Hunter(tm) Game	SPY	Spy Hunter
Spy vs Spy(tm) Game	SPYS	Spy Vs Spy
Squoon (tm) Game	SQOO	Sqoon
Star Soldier(tm) Game	STAR	Star Soldier
Star Trek 25th Anniversary (tm) Game	TREK	Star Trek - 25th Anniversary
Star Trek: The Next Generation(tm) Game	NEXT	Star Trek - The Next Generation
Star Voyager(tm) Game	VOY	Star Voyager
Star Wars(tm) Game	STAR	Star Wars (JVC)
StarTropics(tm) Game	TROP	Startropics
Starforce(tm) Game	FORCE	Star Force
Starship Hector(tm) Game	HEC	Starship Hector
Stealth ATF(tm) Game	ATF	Stealth ATF
Stinger(tm) Game	STING	Stinger
Street Cop(tm) Game	COP	Street Cop
Street Fighter 2010: The Final Fight(tm) Game	FIGHT	Street Fighter 2010 - The Final Fight
Strider(tm) Game	STRI	Strider
Stunt Kids(tm) Game	STUNT	Stunt Kids
Super Bowl(tm) Game	SUPBOL	Tecmo Super Bowl
Super C(tm) Game	SUPER	Super C
Super Mario Bros.(tm) 2 Game	SMB2	Super Mario Bros. 2 (U)
Super Mario Bros.(tm) 3 Game	SMB3	Super Mario Bros. 3
Super Mario Bros.(tm) Game	SMB	Super Mario Bros.
Super Pitfall(tm) Game	PIT	Super Pitfall
Super Sprint(tm) Game	SPRI	Super Sprint
Superman(tm) Game	SUPER	Superman
Swords & Serpents(tm) Game	SWORD	Swords and Serpents
T & C Surf Designs(tm) Game	SURF	T&C Surf Design
T2(tm) Terminator(tm) 2: Judgment Day(tm) Game	TERM2	Terminator 2 - Judgment Day
